identifiant;anneepose;commune;insee;source;gid;lon;lat
;;Lyon 5e Arrondissement;69385;Open Street Map;1167;4,8158951;45,75745870001736
;;Lyon 1er Arrondissement;69381;Open Street Map;1169;4,823911799999999;45,76939520001734
;;Lyon 1er Arrondissement;69381;Open Street Map;1170;4,823783199999999;45,76933320001734
;;Rillieux-la-Pape;69286;Commune de Rillieux-la-Pape;1175;4,9039873480796805;45,81179224586844
;;Rillieux-la-Pape;69286;Commune de Rillieux-la-Pape;1176;4,903088808059695;45,81992184377507
;;Rillieux-la-Pape;69286;Commune de Rillieux-la-Pape;1177;4,909349083900452;45,822690169469844
;;Rillieux-la-Pape;69286;Commune de Rillieux-la-Pape;1178;4,9022331833839425;45,81448946909064
;;Rillieux-la-Pape;69286;Commune de Rillieux-la-Pape;1179;4,89336311817169;45,81695382517523
;;Rillieux-la-Pape;69286;Commune de Rillieux-la-Pape;1180;4,904676675796507;45,81826564254466
;;Lyon 3e Arrondissement;69383;Open Street Map;1181;4,849330600000001;45,76067610001736
;;Meyzieu;69282;Open Street Map;1182;4,990311200000001;45,79213360001728
;;Lyon 8e Arrondissement;69388;Open Street Map;1562;4,860160599999999;45,7471057000174
;;La Tour-de-Salvagny;69250;Open Street Map;572;4,712501799999998;45,81288310001721
G16410;;Lyon 3e Arrondissement;69383;Métropole de Lyon;573;4,887164850051097;45,74939723049626
G201075;;Neuville-sur-Saône;69143;Métropole de Lyon;574;4,840553321940607;45,875766343301514
G63756;2002;Corbas;69273;Métropole de Lyon;575;4,895274138223556;45,66490196630403
G15335;2001;Lyon 3e Arrondissement;69383;Métropole de Lyon;576;4,865370603123961;45,75718907161272
;;Lyon 8e Arrondissement;69388;Open Street Map;1563;4,8604441000000005;45,748644100017415
;;Saint-Priest;69290;Open Street Map;578;4,896345899999999;45,70336260001753
;;Saint-Priest;69290;Open Street Map;579;4,962565399999999;45,69304930001756
;;Lyon 6e Arrondissement;69386;Open Street Map;580;4,8565348;45,77160150001735
G18200;;Lyon 4e Arrondissement;69384;Métropole de Lyon;581;4,836152304954317;45,77765906145408
G201055;;Lyon 6e Arrondissement;69386;Métropole de Lyon;582;4,841047168983638;45,76707674301218
;;Lyon 5e Arrondissement;69385;Open Street Map;583;4,8141449;45,76098430001736
;;Lyon 3e Arrondissement;69383;Open Street Map;1564;4,8668367;45,753546400017385
G63079;;Lyon 3e Arrondissement;69383;Métropole de Lyon;585;4,845350989805302;45,75589831533142
;;Corbas;69273;Open Street Map;1565;4,907062299999998;45,654189100017675
;;Saint-Genis-Laval;69204;Open Street Map;1566;4,787392700000002;45,6841865000176
;;Écully;69081;Open Street Map;588;4,776828600000002;45,77207370001733
;;Lyon 2e Arrondissement;69382;Open Street Map;1567;4,817466799999999;45,73749950001743
;;Lyon 8e Arrondissement;69388;Open Street Map;591;4,8544669;45,73784930001743
;;Villeurbanne;69266;Open Street Map;592;4,876965800000001;45,765183700017346
;;Lyon 3e Arrondissement;69383;Open Street Map;1569;4,862087000000001;45,75520240001738
;;Lyon 5e Arrondissement;69385;Open Street Map;594;4,815267200000002;45,76326460001735
;;Lyon 4e Arrondissement;69384;Open Street Map;595;4,830718700000001;45,775274800017336
G15211;;Lyon 3e Arrondissement;69383;Métropole de Lyon;596;4,8655414234315835;45,75157810221506
;;Givors;69091;Open Street Map;597;4,7747576;45,58633250001786
;;Lyon 6e Arrondissement;69386;Open Street Map;598;4,856959399999999;45,7823908000173
;;Chassieu;69271;Open Street Map;599;4,954957400000001;45,74629580001741
G57859;2002;Lyon 1er Arrondissement;69381;Métropole de Lyon;600;4,834081605931168;45,770527673481084
;;Lyon 7e Arrondissement;69387;Open Street Map;601;4,8226635;45,73126450001747
;;Caluire-et-Cuire;69034;Commune de Caluire-et-Cuire;602;4,848706047762979;45,79440947323528
;;Sainte-Foy-lès-Lyon;69202;Open Street Map;603;4,7798581;45,733602500017454
;;Villeurbanne;69266;Open Street Map;1570;4,868035;45,7823361000173
;;Oullins;69149;Open Street Map;605;4,805540700000001;45,714828100017506
;;Lyon 7e Arrondissement;69387;Open Street Map;606;4,854921100000002;45,741970000017425
;;Saint-Priest;69290;Open Street Map;607;4,901246200000001;45,705642600017505
;;Saint-Genis-Laval;69204;Open Street Map;608;4,7926391;45,694724200017575
;;Villeurbanne;69266;Open Street Map;1571;4,8679383;45,7825293000173
;;Lyon 3e Arrondissement;69383;Open Street Map;1572;4,8870351;45,748950800017404
;;Sainte-Foy-lès-Lyon;69202;Open Street Map;611;4,8039618;45,74123010001743
G201071;;Lyon 5e Arrondissement;69385;Métropole de Lyon;612;4,797212363867125;45,75625885222463
G16388;;Lyon 3e Arrondissement;69383;Métropole de Lyon;613;4,883603845679101;45,748571071513076
;;Villeurbanne;69266;Open Street Map;1573;4,868144;45,78207840001732
;;Vaulx-en-Velin;69256;Open Street Map;615;4,940553900000001;45,79894090001725
;;Caluire-et-Cuire;69034;Commune de Caluire-et-Cuire;616;4,823685829057519;45,79195532985958
;;Sathonay-Camp;69292;Commune de Sathonay-Camp;1574;4,866561159036688;45,82974751817043
;;Lyon 9e Arrondissement;69389;Open Street Map;618;4,816781400000002;45,79026400001729
;;Saint-Genis-Laval;69204;Open Street Map;619;4,7865398;45,70141920001754
;;Sathonay-Camp;69292;Commune de Sathonay-Camp;1575;4,87503668065147;45,824415915537955
G9739;;Bron;69029;Métropole de Lyon;621;4,909659657201499;45,735361146608234
;;Mions;69283;Open Street Map;622;4,9697667;45,66129120001765
G13697;;Décines-Charpieu;69275;Métropole de Lyon;623;4,965171303155628;45,76288596093213
;;Lyon 2e Arrondissement;69382;Open Street Map;624;4,815157100000001;45,74288710001742
;;Sathonay-Camp;69292;Commune de Sathonay-Camp;1576;4,8766338324881;45,827535439295794
;;Sathonay-Camp;69292;Commune de Sathonay-Camp;1577;4,875628572838259;45,82761737875462
G10225;1998;Lyon 2e Arrondissement;69382;Métropole de Lyon;625;4,827117155030618;45,75398164179276
G63754;;Saint-Priest;69290;Métropole de Lyon;626;4,942967863505805;45,69912360104992
G4279;1999;Lyon 2e Arrondissement;69382;Métropole de Lyon;627;4,834123730673371;45,76488315473451
;;Caluire-et-Cuire;69034;Commune de Caluire-et-Cuire;628;4,847270900333;45,79149360046863
;;Neuville-sur-Saône;69143;Open Street Map;629;4,8390493999999995;45,87750780001703
;;Sathonay-Camp;69292;Commune de Sathonay-Camp;1578;4,866622880456665;45,82890080976612
;;Sathonay-Camp;69292;Commune de Sathonay-Camp;1579;4,872395080038808;45,82203921619553
G10143;1995;Lyon 2e Arrondissement;69382;Métropole de Lyon;632;4,831516308142182;45,761042654361844
;;Sathonay-Camp;69292;Commune de Sathonay-Camp;1580;4,872624559318474;45,822834363578245
;;Caluire-et-Cuire;69034;Commune de Caluire-et-Cuire;634;4,845922361739865;45,794978928443015
;;Vénissieux;69259;Open Street Map;635;4,897904099999999;45,71479050001749
G63755;;Saint-Priest;69290;Métropole de Lyon;636;4,9773053829824985;45,70650256924253
G201061;;Lyon 1er Arrondissement;69381;Métropole de Lyon;637;4,833459045473326;45,76764351538237
;;Sathonay-Camp;69292;Commune de Sathonay-Camp;1581;4,870370952059903;45,82447159317576
;;Lyon 6e Arrondissement;69386;Open Street Map;639;4,852580000000001;45,77765630001732
;;Lyon 7e Arrondissement;69387;Open Street Map;640;4,822487099999999;45,724637100017475
;;Vaulx-en-Velin;69256;Commune de Vaulx-en-Velin;641;4,9188979748930235;45,787990881897166
G201084;;Bron;69029;Métropole de Lyon;642;4,909984082345186;45,73389069909314
G16177;;Lyon 3e Arrondissement;69383;Métropole de Lyon;643;4,880660988131092;45,74804419502797
;;Sainte-Foy-lès-Lyon;69202;Open Street Map;644;4,779022400000001;45,72620310001748
G9719;;Bron;69029;Métropole de Lyon;645;4,919586713462136;45,74211535145119
G60049;;Saint-Genis-Laval;69204;Métropole de Lyon;647;4,7848422916845905;45,678629661743095
;;Corbas;69273;Open Street Map;648;4,9005179;45,67528210001761
G199578;;Décines-Charpieu;69275;Métropole de Lyon;649;4,981979087336596;45,76987075245772
G61214;2014;Lyon 2e Arrondissement;69382;Métropole de Lyon;650;4,818339069621656;45,731066546473144
;;Vénissieux;69259;Open Street Map;651;4,894700300000002;45,7163531000175
G201081;;Bron;69029;Métropole de Lyon;652;4,916957502355783;45,73720738622094
G60193;2013;Craponne;69069;Métropole de Lyon;653;4,7239366433307195;45,74437128018775
;;Saint-Genis-Laval;69204;Open Street Map;654;4,787714599999999;45,70068540001753
;;Lyon 3e Arrondissement;69383;Open Street Map;655;4,845870299999998;45,75770830001737
G57251;;Lyon 7e Arrondissement;69387;Métropole de Lyon;656;4,8376697792469585;45,746804003299495
;;Écully;69081;Open Street Map;658;4,773486000000001;45,76877790001735
G60126;;Tassin-la-Demi-Lune;69244;Métropole de Lyon;660;4,757873064493221;45,76001830019874
G199892;2016;Sainte-Foy-lès-Lyon;69202;Métropole de Lyon;663;4,805830448988986;45,747593852395305
;;Saint-Genis-Laval;69204;Open Street Map;664;4,8047054000000005;45,69423240001756
G13885;;Décines-Charpieu;69275;Métropole de Lyon;665;4,956325434784933;45,76896768244961
;;Saint-Priest;69290;Open Street Map;666;4,9344582;45,703491500017535
G18365;1992;Lyon 4e Arrondissement;69384;Métropole de Lyon;667;4,832674530345168;45,77606574561399
;;Chassieu;69271;Open Street Map;668;4,9788220999999995;45,74958890001741
;;Caluire-et-Cuire;69034;Commune de Caluire-et-Cuire;671;4,839028599780649;45,789939300207806
;;La Tour-de-Salvagny;69250;Open Street Map;674;4,7197846;45,804598200017246
;;Saint-Priest;69290;Open Street Map;675;4,937872699999998;45,696692500017555
;;Saint-Fons;69199;Open Street Map;676;4,855208199999998;45,70395460001754
;;Lyon 7e Arrondissement;69387;Open Street Map;677;4,8353147000000005;45,73802860001744
;;Vénissieux;69259;Open Street Map;678;4,8972997;45,714990200017496
;;Saint-Priest;69290;Open Street Map;679;4,941049300000001;45,698324500017556
;;Saint-Didier-au-Mont-d'Or;69194;Open Street Map;681;4,797118300000001;45,81149610001722
;;Vaulx-en-Velin;69256;Commune de Vaulx-en-Velin;685;4,922763888564195;45,77758459093135
;;Villeurbanne;69266;Open Street Map;686;4,8706375999999985;45,78246960001731
;;Genay;69278;Open Street Map;687;4,8271728;45,89590210001698
;;Lyon 2e Arrondissement;69382;Open Street Map;688;4,816307300000002;45,745177900017424
;;Lyon 3e Arrondissement;69383;Open Street Map;690;4,8676587;45,7516377000174
