nom;libellelong;identifiant;numeromaintenance;typecamera;fournisseur;observation;url;gid;last_update_fme;last_update;lon;lat
Lyon - Perrache;Tunnel sous Fourvière;219;CWL5801;Web;CRITER;Direction : Lyon - Perrache;https://download.data.grandlyon.com/files/rdata/pvo_patrimoine_voirie.pvocameracriter/CWL5801.JPG;34;2024-09-25 11:17:04.076321+02:00;2024-09-25 11:16:00+02:00;4,81978206524302;45,752358292668035
A43 - Grenoble;Av. Jean Mermoz / Bd Pinel;223;CW1L8114;Web;CRITER;Direction : A43 - Grenoble;https://download.data.grandlyon.com/files/rdata/pvo_patrimoine_voirie.pvocameracriter/CW1L8114.JPG;45;2024-09-25 11:17:04.074309+02:00;2024-09-25 11:16:00+02:00;4,889340308405491;45,7303241140097
Porte de Gerland;Avenue T.Garnier / Avenue J.Jaurès;259;CWL7033;Web;CRITER;Direction : Porte de Gerland;https://download.data.grandlyon.com/files/rdata/pvo_patrimoine_voirie.pvocameracriter/CWL7033.JPG;40;2024-09-25 11:17:04.075922+02:00;2024-09-25 11:16:00+02:00;4,830317178921582;45,726733643986854
Grange Blanche;Cours A.Thomas / Bd des Tchécoslovaques;220;CWL3005;Web;CRITER;Direction : Grange Blanche;https://download.data.grandlyon.com/files/rdata/pvo_patrimoine_voirie.pvocameracriter/CWL3005.JPG;42;2024-09-25 11:17:04.071782+02:00;2024-09-25 11:16:00+02:00;4,859580532693839;45,749583639329465
Lyon Centre;Av. Jean Mermoz / Bd Pinel;224;CW2L8114;Web;CRITER;Direction : Lyon Centre;https://download.data.grandlyon.com/files/rdata/pvo_patrimoine_voirie.pvocameracriter/CW2L8114.JPG;33;2024-09-25 11:17:04.073486+02:00;2024-09-25 11:16:00+02:00;4,886462962217632;45,73088472995471
Porte de Valvert;Place Vauboin (Horloge);257;CWTA006;Web;CRITER;Direction : Porte de Valvert;https://download.data.grandlyon.com/files/rdata/pvo_patrimoine_voirie.pvocameracriter/CWTA006.JPG;39;2024-09-25 11:17:04.072234+02:00;2024-09-25 11:17:00+02:00;4,781296863340424;45,76378027768377
Lyon - Villeurbanne;Pont Poincaré;254;CW3CL005;Web;CRITER;Direction : Lyon - Villeurbanne;https://download.data.grandlyon.com/files/rdata/pvo_patrimoine_voirie.pvocameracriter/CW3CL005.JPG;35;2024-09-25 11:17:04.073050+02:00;2024-09-25 11:16:00+02:00;4,860406657181313;45,78824630748842
Porte de La Pape;Porte de Croix Luizet;256;CWVL802;Web;CRITER;Direction : Porte de La Doua;https://download.data.grandlyon.com/files/rdata/pvo_patrimoine_voirie.pvocameracriter/CWVL802.JPG;38;2024-09-25 11:17:04.075107+02:00;2024-09-25 11:16:00+02:00;4,89207214940456;45,78343514865332
Porte des Alpes;Boulevard de l'Université / Rue A.Bouloche;255;CWBR043;Web;CRITER;Direction : Porte des Alpes;https://download.data.grandlyon.com/files/rdata/pvo_patrimoine_voirie.pvocameracriter/CWBR043.JPG;37;2024-09-25 11:17:04.075520+02:00;2024-09-25 11:16:00+02:00;4,920109360759982;45,72302417490705
Eurexpo;Boulevard des Droits de l'Homme / Avenue F.Roosevelt;253;CWBR044;Web;CRITER;Direction : Eurexpo;https://download.data.grandlyon.com/files/rdata/pvo_patrimoine_voirie.pvocameracriter/CWBR044.JPG;36;2024-09-25 11:17:04.077316+02:00;2024-09-25 11:16:00+02:00;4,9275236512071805;45,727110306497984
M7 - Marseille;Pont de la Mulatière;258;CWML005;Web;CRITER;Direction : M7 - Marseille;https://download.data.grandlyon.com/files/rdata/pvo_patrimoine_voirie.pvocameracriter/CWML005.JPG;32;2024-09-25 11:17:04.070700+02:00;2024-09-25 11:16:00+02:00;4,815703578083396;45,72886109647263
La Soie;Av. de Bohlen / Rue R.Salengro;222;CWVV011;Web;CRITER;Direction : Porte de La Soie;https://download.data.grandlyon.com/files/rdata/pvo_patrimoine_voirie.pvocameracriter/CWVV011.JPG;44;2024-09-25 11:17:04.073887+02:00;2024-09-25 11:16:00+02:00;4,929567963895573;45,76641253718141
Tunnel Croix Rousse;Pont Clemenceau;218;CWL9018;Web;CRITER;Direction : Tunnel de la Croix Rousse;https://download.data.grandlyon.com/files/rdata/pvo_patrimoine_voirie.pvocameracriter/CWL9018.JPG;31;2024-09-25 11:17:04.072645+02:00;2024-09-25 11:16:00+02:00;4,808118262515052;45,77489339523771
A7 - Paris;Tunnel sous Fourvière;261;CWL9801;Web;CRITER;Direction : M6 - Paris;https://download.data.grandlyon.com/files/rdata/pvo_patrimoine_voirie.pvocameracriter/CWL9801.JPG;41;2024-09-25 11:17:04.076730+02:00;2024-09-25 11:16:00+02:00;4,802788030091653;45,763523711361294
Caluire;Bd de Stalingrad / Rue W.Rousseau;221;CWL6165;Web;CRITER;Direction : Caluire;https://download.data.grandlyon.com/files/rdata/pvo_patrimoine_voirie.pvocameracriter/CWL6165.JPG;43;2024-09-25 11:17:04.074711+02:00;2024-09-25 11:16:00+02:00;4,858734847452429;45,771690997683244
