deveui;nom;address;insee;status;battery_level;datemaj;gid;lon;lat
70b3d580a01005fd;SL-T-P6;"{'postalCode': '69003', 'streetAddress': 'Site Garibaldi Est', 'addressCountry': 'France', 'addressLocality': 'Lyon'}";69383;inactive;16;2022-07-04 08:19:43+02:00;6;4,852945;45,760798
70b3d580a0100644;SL-T-G10;"{'postalCode': '69330', 'streetAddress': '40 Avenue de la Libération', 'addressCountry': 'France', 'addressLocality': 'Meyzieu'}";69282;inactive;;2021-05-17 16:21:53+02:00;11;4,998943;45,775154
70b3d580a01006cf;SL-T-G5;"{'postalCode': '69130', 'streetAddress': 'Chemin Louis Chirpaz/avenue Edouard Eynard', 'addressCountry': 'France', 'addressLocality': 'Ecully'}";69081;active;100;2024-09-25 11:19:46+02:00;15;4,778705;45,778851
70b3d580a01007a5;SL-T-G7;"{'postalCode': '69450', 'streetAddress': '43-47 route de Lyon', 'addressCountry': 'France', 'addressLocality': "Saint-Cyr-au-Mont-d'Or"}";69191;active;100;2024-09-25 11:00:23+02:00;17;4,821077;45,806979
70b3d580a0100543;SL-T-P1;"{'postalCode': '69003', 'streetAddress': 'Site Garibaldi Nord', 'addressCountry': 'France', 'addressLocality': 'Lyon'}";69383;inactive;100;2023-11-08 02:06:26+01:00;1;4,851277;45,763484
70b3d580a010054c;SL-T-P3;"{'postalCode': '69003', 'streetAddress': 'Site Garibaldi Section2', 'addressCountry': 'France', 'addressLocality': 'Lyon'}";69383;active;100;2024-09-25 11:16:47+02:00;3;4,851818;45,761145
70b3d580a0100652;SL-T-G8;"{'postalCode': '69250', 'streetAddress': '414-449 Chemin du Cruy', 'addressCountry': 'France', 'addressLocality': "Poleymieux-au-Mont-d'Or"}";69153;active;100;2024-09-25 11:25:54+02:00;18;4,802012;45,857197
70b3d580a0100623;SL-T-G9;"{'postalCode': '69120', 'streetAddress': '58 Avenue Roger Salengro', 'addressCountry': 'France', 'addressLocality': 'Vaulx-en-Velin'}";69256;active;100;2024-09-25 11:12:40+02:00;19;4,928605;45,758908
70b3d580a0100605;SL-T-P8;"{'postalCode': '69003', 'streetAddress': 'Site Garibaldi Sud', 'addressCountry': 'France', 'addressLocality': 'Lyon'}";69383;active;100;2024-09-25 11:15:55+02:00;8;4,852542;45,758465
70b3d580a0100654;SL-T-G2;"{'postalCode': '69007', 'streetAddress': '105-117 Avenue Jean Jaurès', 'addressCountry': 'France', 'addressLocality': 'Lyon'}";69387;inactive;9;2023-12-25 21:04:59+01:00;12;4,840917;45,743602
70b3d580a0100549;SL-T-P2;"{'postalCode': '69003', 'streetAddress': 'Site Garibaldi Section1', 'addressCountry': 'France', 'addressLocality': 'Lyon'}";69383;active;100;2024-09-25 11:17:57+02:00;2;4,851705;45,761757
70b3d580a0100742;SL-T-G6;"{'postalCode': '69890', 'streetAddress': 'Avenue du Casino', 'addressCountry': 'France', 'addressLocality': 'La Tour-de-Salvagny'}";69250;active;100;2024-09-25 11:29:24+02:00;16;4,719458;45,803818
70b3d580a0100656;SL-T-G3;"{'postalCode': '69540', 'streetAddress': 'Place Abbé Pierre', 'addressCountry': 'France', 'addressLocality': 'Irigny'}";69100;active;100;2024-09-25 11:19:57+02:00;13;4,823831;45,672827
70b3d580a0100550;SL-T-P4;"{'postalCode': '69003', 'streetAddress': 'Site Garibaldi Ouest', 'addressCountry': 'France', 'addressLocality': 'Lyon'}";69383;active;100;2024-09-25 11:24:48+02:00;4;4,849077;45,760508
70b3d580a0100600;SL-T-P7;"{'postalCode': '69003', 'streetAddress': 'Site Garibaldi Section4', 'addressCountry': 'France', 'addressLocality': 'Lyon'}";69383;active;100;2024-09-25 11:02:46+02:00;7;4,852123;45,759356
70b3d580a01005fa;SL-T-P5;"{'postalCode': '69003', 'streetAddress': 'Site Garibaldi Section3', 'addressCountry': 'France', 'addressLocality': 'Lyon'}";69383;active;100;2024-09-25 11:22:18+02:00;5;4,851946;45,76032
70b3d580a0100648;SL-T-G12;"{'postalCode': '69800', 'streetAddress': '1 rue Henri Bordeaux', 'addressCountry': 'France', 'addressLocality': 'Saint-Priest'}";69290;active;100;2024-09-25 11:15:42+02:00;9;4,956662;45,689378
70b3d580a0100657;SL-T-G4;"{'postalCode': '69520', 'streetAddress': '17 Rue Adrien Dutartre', 'addressCountry': 'France', 'addressLocality': 'Grigny'}";69096;active;100;2024-09-25 11:03:37+02:00;14;4,800357;45,613456
70b3d580a0100647;SL-T-G11;"{'postalCode': '69800', 'streetAddress': 'Route de Lyon', 'addressCountry': 'France', 'addressLocality': 'Saint-Priest'}";69290;active;100;2024-09-25 11:18:17+02:00;10;4,903666;45,710283
