nom;commune;insee;adresse;address;horaires;openinghours;capacite;nbecrans;cinema3d;telephone;url;source;gid;lon;lat
Les Alizés;Bron;69029;216 Avenue Franklin Roosevelt, Bron;"{'postalCode': '69500', 'streetAddress': '216 Avenue Franklin Roosevelt', 'addressCountry': 'FR', 'addressLocality': 'Bron'}";;;345;2;False;;;Open Street Map;1;4,9151378999999995;45,7311533
Alpha;Charbonnières-les-Bains;69044;Place Sainte Luce, Charbonnières-les-Bains;"{'postalCode': '69260', 'streetAddress': 'Place Sainte Luce', 'addressCountry': 'FR', 'addressLocality': 'Charbonnières-les-Bains'}";;;300;1;True;;;Open Street Map;3;4,7394523;45,7800005
Écully cinéma;Écully;69081;3 Rue Joseph Rimaud, Écully;"{'postalCode': '69130', 'streetAddress': '3 Rue Joseph Rimaud', 'addressCountry': 'FR', 'addressLocality': 'Écully'}";;;171;1;False;;;Open Street Map;5;4,7781944;45,7792667
Cinéma Rex;Neuville-sur-Saône;69143;3 Avenue du 11 Novembre 1918, Neuville-sur-Saône;"{'postalCode': '69250', 'streetAddress': '3 Avenue du 11 Novembre 1918', 'addressCountry': 'FR', 'addressLocality': 'Neuville-sur-Saône'}";;;269;2;True;;https://www.rexneuville.com/;Open Street Map;7;4,8415825;45,874689
La Maison du Peuple;Pierre-Bénite;69152;6 Place Jean Jaurès, Pierre-Bénite;"{'postalCode': '69310', 'streetAddress': '6 Place Jean Jaurès', 'addressCountry': 'FR', 'addressLocality': 'Pierre-Bénite'}";;;88;1;False;;;Open Street Map;8;4,8231402;45,7039147
Le Lem;Tassin-la-Demi-Lune;69244;66 Avenue du 8 Mai 1945, Tassin-la-Demi-Lune;"{'postalCode': '69160', 'streetAddress': '66 Avenue du 8 Mai 1945', 'addressCountry': 'FR', 'addressLocality': 'Tassin-la-Demi-Lune'}";;;245;1;False;;;Open Street Map;10;4,7609045;45,7614042
Pathé Carré de Soie;Vaulx-en-Velin;69256;4 Avenue de Böhlen, Vaulx-en-Velin;"{'postalCode': '69120', 'streetAddress': '4 Avenue de Böhlen', 'addressCountry': 'FR', 'addressLocality': 'Vaulx-en-Velin'}";Mo-Su,PH 10:00-00:30;"['Mo-Su,PH 10:00-00:30']";3669;15;True;;http://www.cinemasgaumontpathe.com/cinemas/cinema-pathe-carre-de-soie/;Open Street Map;12;4,9211252;45,7643796
Cinéma Le Polaris;Corbas;69273;5 Avenue de Corbetta, Corbas;"{'postalCode': '69960', 'streetAddress': '5 Avenue de Corbetta', 'addressCountry': 'FR', 'addressLocality': 'Corbas'}";;;;;;;;Open Street Map;14;4,8969716;45,6689154
Le Toboggan;Décines-Charpieu;69275;14 Avenue Jean Macé, Décines-Charpieu;"{'postalCode': '69150', 'streetAddress': '14 Avenue Jean Macé', 'addressCountry': 'FR', 'addressLocality': 'Décines-Charpieu'}";;;144;1;True;;;Open Street Map;15;4,9557118;45,7688223
Le Meliès;Caluire-et-Cuire;69034;67 Chemin de Vassieux, Caluire-et-Cuire;"{'postalCode': '69300', 'streetAddress': '67 Chemin de Vassieux', 'addressCountry': 'FR', 'addressLocality': 'Caluire-et-Cuire'}";"ouverture fonction des films";;267;1;False;;;Open Street Map;2;4,8667976;45,7977767
L'Aqueduc;Dardilly;69072;59 Chemin de la Liasse, Dardilly;"{'postalCode': '69570', 'streetAddress': '59 Chemin de la Liasse', 'addressCountry': 'FR', 'addressLocality': 'Dardilly'}";;;271;1;False;;;Open Street Map;4;4,7544059;45,8121479
Iris;Francheville;69089;1 Montée des Roches, Francheville;"{'postalCode': '69340', 'streetAddress': '1 Montée des Roches', 'addressCountry': 'FR', 'addressLocality': 'Francheville'}";;;193;1;False;+33478590266;;Open Street Map;6;4,7681793;45,7337323
