ligne;code_trace;code_ligne;type_trace;nom_trace;sens;origine;destination;nom_origine;nom_destination;famille_transport;date_debut;date_fin;code_type_ligne;nom_type_ligne;pmr;code_tri_ligne;nom_version;last_update;last_update_fme;gid
8;8-1;8B;NOM;Perrache - Oullins Clement Desormes;Aller;30977;11033;Perrache;Oullins Clément Désormes;BUS;20200903;;REG;Régulière;True;8;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.580606+02:00;429
8;8-2;8B;NOM;Oullins Clement Desormes - Perrache;Retour;11033;30977;Oullins Clément Désormes;Perrache;BUS;20200903;;REG;Régulière;True;8;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.581273+02:00;430
6;6-3;6A;NOM;Ste-Foy Place Saint Luc - Gare d'Oullins;Aller;34271;34269;Ste-Foy Place Saint Luc;Gare d'Oullins;BUS;20211023;;REG;Régulière;False;6;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.576962+02:00;805
6;6-4;6A;NOM;Gare d'Oullins - Ste-Foy Place Saint Luc;Retour;34269;34271;Gare d'Oullins;Ste-Foy Place Saint Luc;BUS;20211023;;REG;Régulière;False;6;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.577637+02:00;806
7;7-2;7A;SPE;Laurent Bonnevay - Bonnevay Bel Air;Aller;10716;10111;Laurent Bonnevay;Bonnevay - Bel Air;BUS;20180101;;REG;Régulière;True;7;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.578736+02:00;880
2;2-1;2A;NOM;Croix-Rousse - Plateau de St-Rambert;Aller;11119;20244;Croix-Rousse;Plateau de St Rambert;BUS;20180101;;REG;Régulière;True;2;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.570136+02:00;411
2;2-2;2A;NOM;Plateau de St-Rambert - Croix-Rousse;Retour;20244;11119;Plateau de St Rambert;Croix-Rousse;BUS;20180101;;REG;Régulière;True;2;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.571168+02:00;412
3;3-1;3A;NOM;Gorge de Loup - Dardilly Le Jubin;Aller;10513;20189;Gorge de Loup;Dardilly Le Jubin;BUS;20180101;;REG;Régulière;True;3;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.571792+02:00;413
3;3-2;3A;NOM;Gorge de Loup - Limonest Le Puy d'Or;Aller;10513;33290;Gorge de Loup;Limonest Le Puy d'Or;BUS;20180101;;REG;Régulière;True;3;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.572408+02:00;414
3;3-3;3A;NUI;Gorge de Loup - Porte de Lyon;Aller;10513;11147;Gorge de Loup;Porte de Lyon;BUS;20180101;;REG;Régulière;True;3;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.573060+02:00;415
26;26-1;26A;NOM;Lycée Lumiere - Manissieux Pierre Blanche;Aller;32540;20079;Lycée Lumière;Manissieux P. Blanche;BUS;20180101;;REG;Régulière;True;26;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.614122+02:00;471
33;33-1;33A;NOM;Croix-Rousse - Rillieux Les Alagniers;Aller;11119;33420;Croix-Rousse;Rillieux - Les Alagniers;BUS;20180101;;REG;Régulière;True;33;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.628907+02:00;485
33;33-2;33A;NOM;Rillieux Les Alagniers - Croix-Rousse;Retour;33420;11119;Rillieux - Les Alagniers;Croix-Rousse;BUS;20180101;;REG;Régulière;True;33;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.629524+02:00;486
12;12-1;12C;NOR;Gare d'Oullins - Hopital Lyon Sud;Aller;34269;10565;Gare d'Oullins;St-Genis-Laval Hôp. Sud;BUS;20211023;;REG;Régulière;False;12;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.585947+02:00;809
12;12-2;12C;NOR;Hopital Lyon Sud - Gare d'Oullins;Retour;10565;34269;St-Genis-Laval Hôp. Sud;Gare d'Oullins;BUS;20211023;;REG;Régulière;False;12;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.586639+02:00;810
45;45-2;45B;NOM;Valdo - Croix-Rousse;Retour;11411;11119;Valdo;Croix-Rousse;BUS;20300320;;REG;Régulière;True;45;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.641976+02:00;504
S10;S10-1;S10A;NOM;Joannès Carret - Lycée Jean Perrin;Aller;10599;10878;Joannès Carret;Lycée Jean Perrin;BUS;20180101;;REG;Régulière;True;S 10;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.814714+02:00;644
15;15-3;15C;NOM;Bellecour Charite - Irigny Hauts de Selettes;Aller;10077;32640;Bellecour Charité;Irigny Hauts de Selettes;BUS;20130522;;REG;Régulière;True;15;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.588611+02:00;851
15;15-1;15C;NOM;Bellecour Charite - Irigny Hauts de Selettes;Aller;10077;32640;Bellecour Charité;Irigny Hauts de Selettes;BUS;20210401;;REG;Régulière;True;15;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.589282+02:00;439
15;15-4;15C;NOM;Irigny Hauts de Selettes - Bellecour Charite;Retour;32640;10077;Irigny Hauts de Selettes;Bellecour Charité;BUS;20130522;;REG;Régulière;True;15;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.589927+02:00;852
15;15-2;15C;NOM;Irigny Hauts de Selettes - Bellecour Charite;Retour;32640;10077;Irigny Hauts de Selettes;Bellecour Charité;BUS;20210401;;REG;Régulière;True;15;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.590546+02:00;440
17;17-1;17C;NOR;Gare d'Oullins - St Genis 2;Aller;34269;11302;Gare d'Oullins;St Genis 2;BUS;20211023;;REG;Régulière;False;17;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.592311+02:00;811
17;17-2;17C;NOR;St Genis 2 - Gare d'Oullins;Retour;11302;34269;St Genis 2;Gare d'Oullins;BUS;20211023;;REG;Régulière;False;17;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.592982+02:00;812
18;18-2;18C;NOR;Vernaison  Place - Hopital Lyon Sud;Retour;31440;10565;Vernaison  Place;St-Genis-Laval Hôp. Sud;BUS;20211023;;REG;Régulière;False;18;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.594220+02:00;814
S15;S15-1;S15A;NOM;Ecully Le Trouillat - Les Sources;Aller;10399;10842;Ecully Le Trouillat;Les Sources;BUS;20180101;;REG;Régulière;True;S 15;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.820352+02:00;653
ZI8;ZI8-3;ZI8A;EXP;La Fouillouse Acacias - Esplanade des Arts (50 E);Retour;31431;31160;La Fouillouse Acacias;Esplanade des Arts;BUS;20180101;;REG;Régulière;True;Z I8;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.832444+02:00;677
30;30-4;30B;ZI;St Priest Jules Ferry - St-Pierre-de-Chandieu - Rajat;Retour;31140;34339;St-Priest Jules Ferry;St-P.de-Chandieu - Rajat;BUS;20190209;;REG;Régulière;True;30;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.623782+02:00;720
72;72-2;72D;NUI;Gorge de Loup - Marcy l'Etoile;Aller;10513;10910;Gorge de Loup;Marcy l'Etoile;BUS;20230201;;REG;Régulière;False;72;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.675440+02:00;553
72;72-3;72D;NOM;Gorge de Loup - Ste Consorce;Aller;10513;11360;Gorge de Loup;Ste Consorce;BUS;20230201;;REG;Régulière;False;72;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.676164+02:00;552
25;25-2;25A;NOM;Sept Chemins - Gare Part-Dieu Vivier Merle;Retour;11269;11064;Sept Chemins;Gare Part-Dieu V.Merle;BUS;20180101;;REG;Régulière;True;25;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.613509+02:00;470
40;40-1;40A;NOM;Bellecour Le Viste - Neuville;Aller;10080;11014;Bellecour Le Viste;Neuville;BUS;20180101;;REG;Régulière;True;40;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.635396+02:00;495
72;72-6;72D;NOM;Ste Consorce - Gorge de Loup;Retour;11360;10513;Ste Consorce;Gorge de Loup;BUS;20230201;;REG;Régulière;False;72;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.677745+02:00;555
