nom;commune;insee;adresse;address;horaires;openinghours;acceshandi;telephone;url;wikipedia;source;gid;lon;lat
Espace culturel du christianisme à Lyon;Lyon 5e Arrondissement;69385;Place de l'Antiquaille, Lyon 5e Arrondissement;"{'postalCode': '69005', 'streetAddress': "Place de l'Antiquaille", 'addressCountry': 'FR', 'addressLocality': 'Lyon 5e Arrondissement'}";;"[]";;;https://antiquaille.fr;fr:Espace culturel du christianisme à Lyon;Open Street Map;2;4,8231111;45,7600362
Musée Cinéma & Miniature;Lyon 5e Arrondissement;69385;60 Rue Saint Jean, Lyon 5e Arrondissement;"{'postalCode': '69005', 'streetAddress': '60 Rue Saint Jean', 'addressCountry': 'FR', 'addressLocality': 'Lyon 5e Arrondissement'}";"Mo-Fr 10:00-18:30; Sa,Su 10:00-19:00; SH,Mo-Su 10:00-19:00";"['Mo-Fr 10:00-18:30', 'Sa,Su 10:00-19:00', 'SH,Mo-Su 10:00-19:00']";;+33472002477;https://www.museeminiatureetcinema.fr/;fr:Musée Miniature et Cinéma;Open Street Map;3;4,8272984999999995;45,7618753
Centre d'art contemporain du Fort du Bruissin;Francheville;69089;7 Rue du Clos des Coquilles, Francheville;"{'postalCode': '69340', 'streetAddress': '7 Rue du Clos des Coquilles', 'addressCountry': 'FR', 'addressLocality': 'Francheville'}";;"[]";;;;;Open Street Map;18;4,7385345;45,7305319
Musée d'histoire de la médecine et de la pharmacie de Lyon;Lyon 8e Arrondissement;69388;25 Rue Laennec, Lyon 8e Arrondissement;"{'postalCode': '69008', 'streetAddress': '25 Rue Laennec', 'addressCountry': 'FR', 'addressLocality': 'Lyon 8e Arrondissement'}";;"[]";;;;fr:Musée d'histoire de la médecine et de la pharmacie de Lyon;Open Street Map;15;4,8805413;45,7414332
Musée de l'Aviation Clément Ader;Corbas;69273;203 Route de Marennes, Corbas;"{'postalCode': '69960', 'streetAddress': '203 Route de Marennes', 'addressCountry': 'FR', 'addressLocality': 'Corbas'}";Mo, We-Su 14:00-18:00;"['Mo, We-Su 14:00-18:00']";;;;;Open Street Map;29;4,9096586;45,6536343
Institut Lumière;Lyon 8e Arrondissement;69388;25 Rue du Premier Film, Lyon 8e Arrondissement;"{'postalCode': '69008', 'streetAddress': '25 Rue du Premier Film', 'addressCountry': 'FR', 'addressLocality': 'Lyon 8e Arrondissement'}";Tu-Su 10:00-18:30;"['Tu-Su 10:00-18:30']";;+33478781895;http://institut-lumiere.org;;Open Street Map;4;4,8706151;45,7450881
Maison des Canuts;Lyon 4e Arrondissement;69384;10 Rue d'Ivry, Lyon 4e Arrondissement;"{'postalCode': '69004', 'streetAddress': "10 Rue d'Ivry", 'addressCountry': 'FR', 'addressLocality': 'Lyon 4e Arrondissement'}";"Tu-Fr 10:00-13:00,14:00-18:00; Sa 10:00-18:00";"['Tu-Fr 10:00-13:00,14:00-18:00', 'Sa 10:00-18:00']";;+33478286204;https://www.maisondescanuts.fr/;fr:Maison des Canuts;Open Street Map;30;4,8336847;45,777106
Entrée du musée gallo-romain de Lyon;Lyon 5e Arrondissement;69385;6 Rue de l'Antiquaille, Lyon 5e Arrondissement;"{'postalCode': '69005', 'streetAddress': "6 Rue de l'Antiquaille", 'addressCountry': 'FR', 'addressLocality': 'Lyon 5e Arrondissement'}";;"[]";;;;;Open Street Map;26;4,8211072999999995;45,759028
La taverne Gutenberg;Lyon 3e Arrondissement;69383;7 Rue Gutenberg, Lyon 3e Arrondissement;"{'postalCode': '69003', 'streetAddress': '7 Rue Gutenberg', 'addressCountry': 'FR', 'addressLocality': 'Lyon 3e Arrondissement'}";"We-Sa 14:00-21:00; Su 14:00-19:00";"['We-Sa 14:00-21:00', 'Su 14:00-19:00']";;;http://www.taverne-gutenberg.com;;Open Street Map;8;4,8433713;45,7568424
Musée Africain;Lyon 7e Arrondissement;69387;150 Cours Gambetta, Lyon 7e Arrondissement;"{'postalCode': '69007', 'streetAddress': '150 Cours Gambetta', 'addressCountry': 'FR', 'addressLocality': 'Lyon 7e Arrondissement'}";"Tu-Fr 11:00-18:00; Sa,Su 14:00-18:00";"['Tu-Fr 11:00-18:00', 'Sa,Su 14:00-18:00']";False;+33478616098;https://www.musee-africain-lyon.org/;fr:Musée africain de Lyon;Open Street Map;11;4,8577773;45,7499594
