materiau;dossier;insee;source;gid;lon;lat
;True;69387;Open Street Map;1;4,8216714;45,7223162
;True;69385;Open Street Map;3;4,8187533;45,7557951
;True;69292;Open Street Map;5;4,8684308;45,824564
;True;69292;Open Street Map;6;4,8703771;45,8172046
;True;69382;Open Street Map;7;4,8347229;45,7564372
bois;True;69389;Open Street Map;8;4,8309146;45,7969785
béton;False;69266;Open Street Map;9;4,8832112;45,7808651
métal;True;69081;Open Street Map;10;4,7702283;45,7836237
;True;69382;Open Street Map;12;4,8148161;45,7432225
;;69279;Open Street Map;13;5,0375554;45,7961565
;True;69149;Open Street Map;14;4,8064763;45,7209567
bois;True;69387;Open Street Map;15;4,8306264;45,7304776
bois;True;69259;Open Street Map;16;4,8854721;45,7097962
;True;69040;Open Street Map;17;4,7885293;45,7945772
;True;69091;Open Street Map;18;4,765326;45,5864835
;;69385;Open Street Map;19;4,8232121;45,7614139
pierre;True;69290;Open Street Map;20;4,9551396;45,692868
béton;False;69290;Open Street Map;21;4,9316566;45,6963669
bois;True;69389;Open Street Map;22;4,831585;45,7971834
;True;69387;Open Street Map;23;4,8430087;45,7467184
;True;69034;Open Street Map;24;4,8348272;45,7834227
;True;69382;Open Street Map;25;4,8196889;45,7367685
;False;69383;Open Street Map;26;4,8666765;45,7518176
;True;69034;Open Street Map;27;4,8518167;45,7994781
béton;False;69266;Open Street Map;29;4,8836112;45,7804856
bois;False;69388;Open Street Map;30;4,8690327;45,7434734
;True;69387;Open Street Map;31;4,8429304;45,75198
;True;69266;Open Street Map;32;4,8854284;45,7581388
bois;True;69266;Open Street Map;33;4,9004268;45,7657575
;;69044;Open Street Map;34;4,7403322;45,779231
;True;69149;Open Street Map;35;4,805957;45,7116895
;False;69207;Open Street Map;37;4,8031732;45,8840008
;True;69271;Open Street Map;38;4,9694728;45,7380319
bois;True;69266;Open Street Map;39;4,8859295;45,7718884
;False;69149;Open Street Map;40;4,8025171;45,7131123
;True;69127;Open Street Map;42;4,7278078;45,7864667
;;69286;Open Street Map;43;4,8958025;45,8248882
pierre;False;69290;Open Street Map;45;4,9352237;45,6948478
bois;True;69385;Open Street Map;46;4,798617;45,761862
;False;69386;Open Street Map;48;4,840651;45,7706475
pierre;True;69091;Open Street Map;49;4,7881883;45,5773772
;True;69381;Open Street Map;50;4,831962;45,7719216
;;69081;Open Street Map;51;4,7803614;45,7912481
;True;69381;Open Street Map;53;4,8336866;45,7695123
pierre;False;69266;Open Street Map;54;4,8837551;45,7867057
;False;69266;Open Street Map;55;4,8625245;45,7740427
;True;69207;Open Street Map;56;4,8042993;45,8883294
;True;69034;Open Street Map;58;4,848636;45,795039
;;69266;Open Street Map;59;4,8774203;45,7638116
;False;69386;Open Street Map;60;4,8420377;45,7746072
;;69089;Open Street Map;61;4,7695329;45,748875
;False;69387;Open Street Map;62;4,8430788;45,7520713
;True;69040;Open Street Map;63;4,7924329;45,7952424
;False;69384;Open Street Map;64;4,8351855;45,774703
;True;69386;Open Street Map;66;4,8487351;45,7692898
;;69244;Open Street Map;67;4,7669419;45,7626978
bois;True;69149;Open Street Map;68;4,8015851;45,7129408
;True;69383;Open Street Map;69;4,860526;45,760985
;False;69386;Open Street Map;70;4,8409139;45,7638902
;True;69384;Open Street Map;71;4,8385503;45,778646
;True;69386;Open Street Map;73;4,8470923;45,7644946
;;69385;Open Street Map;74;4,8188146;45,7556294
;True;69266;Open Street Map;76;4,8754619;45,7676132
;True;69091;Open Street Map;77;4,7654053;45,5864841
bois,métal;True;69046;Open Street Map;78;4,7944656;45,6493099
béton;True;69386;Open Street Map;79;4,8434185;45,7763792
métal;False;69382;Open Street Map;80;4,8353357;45,761713
bois;True;69296;Open Street Map;82;4,8411873;45,6393618
bois,métal;True;69266;Open Street Map;83;4,8722139;45,784551
;False;69386;Open Street Map;84;4,8409186;45,7638682
pierre;False;69385;Open Street Map;85;4,8277792;45,7613741
;;69089;Open Street Map;86;4,7683678;45,7408684
bois;False;69389;Open Street Map;88;4,8130085;45,788169
;True;69290;Open Street Map;89;4,9618966;45,693057
bois;True;69266;Open Street Map;90;4,8806869;45,7580939
;True;69383;Open Street Map;91;4,8482244;45,7536279
;True;69266;Open Street Map;92;4,8652343;45,772681
;True;69142;Open Street Map;93;4,8136885;45,7301715
;;69275;Open Street Map;94;4,9570978;45,7707145
bois;True;69149;Open Street Map;95;4,8026145;45,7175295
bois;False;69276;Open Street Map;96;4,8758121;45,6833529
;True;69149;Open Street Map;97;4,8070845;45,7078913
;True;69149;Open Street Map;98;4,8055641;45,7112992
;True;69290;Open Street Map;99;4,9448025;45,6928099
béton;False;69266;Open Street Map;101;4,8772845;45,7590553
;True;69387;Open Street Map;102;4,8422103;45,7454059
;True;69127;Open Street Map;105;4,7204067;45,784897
;;69389;Open Street Map;107;4,7944902;45,7726306
bois;True;69149;Open Street Map;110;4,8051856;45,7108196
;True;69389;Open Street Map;111;4,8080047;45,7780004
;;69266;Open Street Map;112;4,8769401;45,7636452
;;69282;Open Street Map;113;5,0240296;45,790646
;True;69385;Open Street Map;115;4,8229273;45,7626454
bois;True;69142;Open Street Map;116;4,816347;45,7257547
;True;69259;Open Street Map;117;4,9000137;45,7136011
;True;69149;Open Street Map;118;4,8178322;45,7181482
bois;True;69266;Open Street Map;119;4,8857599;45,760762
;;69266;Open Street Map;120;4,8810021;45,7674914
;True;69260;Open Street Map;121;4,8143687;45,6525083
métal;True;69034;Open Street Map;122;4,8395583;45,7814689
bois;True;69271;Open Street Map;124;4,9565701;45,7480731
bois;False;69283;Open Street Map;125;4,9457662;45,65128
;True;69290;Open Street Map;126;4,9399075;45,6963597
;True;69266;Open Street Map;127;4,8724381;45,7839672
;;69116;Open Street Map;128;4,7822987;45,8126422
;True;69384;Open Street Map;129;4,8339536;45,7746634
;;69383;Open Street Map;130;4,895778;45,7482256
;;69290;Open Street Map;131;4,9643653;45,6974134
;;69279;Open Street Map;132;5,0378102;45,7961396
;False;69381;Open Street Map;133;4,8226389;45,7681849
;;69244;Open Street Map;134;4,7727225;45,757643
béton;True;69384;Open Street Map;136;4,8305732;45,7750039
;True;69385;Open Street Map;137;4,7943614;45,7586345
bois;True;69290;Open Street Map;138;4,9469155;45,6944887
;False;69207;Open Street Map;139;4,803359;45,8840993
;;69290;Open Street Map;140;4,953272;45,6894384
;True;69256;Open Street Map;142;4,9435282;45,808374
métal;False;69389;Open Street Map;143;4,8104015;45,7802404
;True;69191;Open Street Map;144;4,7980768;45,8421542
;True;69388;Open Street Map;145;4,8711838;45,7446222
;False;69383;Open Street Map;146;4,8520095;45,7573103
;;69259;Open Street Map;149;4,8839914;45,7133184
;True;69381;Open Street Map;150;4,8306024;45,76619
;True;69387;Open Street Map;151;4,8387302;45,7516083
béton;True;69383;Open Street Map;152;4,8587483;45,7620757
;True;69389;Open Street Map;153;4,8113975;45,7869788
bois;True;69271;Open Street Map;154;4,9743806;45,7501586
bois;True;69266;Open Street Map;155;4,8623218;45,7702725
bois;True;69290;Open Street Map;158;4,9419339;45,6918933
bois;True;69383;Open Street Map;159;4,8678042;45,7588383
métal;False;69384;Open Street Map;160;4,810492;45,7802157
;True;69387;Open Street Map;164;4,85333;45,7496076
bois;True;69202;Open Street Map;165;4,8059783;45,7375967
;True;69383;Open Street Map;166;4,851508;45,7622412
;True;69385;Open Street Map;170;4,8253871;45,7575324
bois;;69204;Open Street Map;171;4,7859128;45,6909403
bois;True;69149;Open Street Map;172;4,8058519;45,7196514
pierre;True;69384;Open Street Map;173;4,8390109;45,7743442
;True;69382;Open Street Map;175;4,8166814;45,7459977
;True;69386;Open Street Map;176;4,8511171;45,7770642
;;69259;Open Street Map;177;4,8839802;45,7132861
bois;True;69149;Open Street Map;178;4,8047889;45,7109725
;True;69389;Open Street Map;180;4,8301161;45,7988767
;;69290;Open Street Map;183;4,9635649;45,6933425
béton;False;69266;Open Street Map;184;4,8838418;45,7805296
béton;False;69290;Open Street Map;185;4,9317969;45,6963368
bois;False;69096;Open Street Map;186;4,799366;45,6103553
bois;False;69149;Open Street Map;187;4,8158328;45,7146349
bois;True;69266;Open Street Map;188;4,9021166;45,7675733
;True;69259;Open Street Map;189;4,9015845;45,7126616
;;69290;Open Street Map;191;4,9296562;45,7002479
;True;69389;Open Street Map;193;4,8127199;45,7861684
;;69040;Open Street Map;194;4,7909579;45,7917649
;;69282;Open Street Map;195;4,989294;45,7881425
bois;True;69383;Open Street Map;196;4,8416924;45,7608172
;False;69034;Open Street Map;197;4,8280696;45,7934607
bois;True;69266;Open Street Map;198;4,9017273;45,7675127
;True;69387;Open Street Map;200;4,8223617;45,7221282
;True;69387;Open Street Map;201;4,8423215;45,7463357
;False;69383;Open Street Map;202;4,8665263;45,7517751
;True;69387;Open Street Map;203;4,8422861;45,7455343
;;69044;Open Street Map;205;4,7454596;45,7825114
;True;69386;Open Street Map;206;4,8510138;45,7769903
;True;69149;Open Street Map;207;4,8082372;45,7063921
bois;True;69383;Open Street Map;209;4,848224;45,7582094
;True;69386;Open Street Map;210;4,8531989;45,7769173
bois;True;69383;Open Street Map;211;4,8675113;45,7538473
bois;True;69382;Open Street Map;212;4,8343789;45,7648017
bois;True;69290;Open Street Map;213;4,9296035;45,7025838
bois;True;69244;Open Street Map;214;4,7837919;45,7658056
;True;69290;Open Street Map;216;4,942489;45,697175
;True;69383;Open Street Map;217;4,8723378;45,7481474
béton;False;69290;Open Street Map;218;4,9438767;45,6909763
bois;True;69389;Open Street Map;219;4,8318997;45,7972239
;True;69149;Open Street Map;220;4,8097278;45,7160643
;;69044;Open Street Map;221;4,7442453;45,7782804
bois;True;69271;Open Street Map;222;4,9557249;45,7471944
;True;69387;Open Street Map;223;4,8218078;45,72122
;True;69290;Open Street Map;224;4,9810519;45,6964421
;True;69384;Open Street Map;225;4,8165341;45,7748502
béton;False;69290;Open Street Map;226;4,9489653;45,6954396
;True;69387;Open Street Map;227;4,8533559;45,7495583
;True;69387;Open Street Map;228;4,8524296;45,7517829
;True;69266;Open Street Map;231;4,8807;45,7688703
bois;True;69149;Open Street Map;232;4,806865;45,7196476
;;69117;Open Street Map;233;4,7436831;45,8422996
;True;69387;Open Street Map;235;4,8376526;45,7376197
;True;69381;Open Street Map;236;4,8267402;45,7731155
;True;69387;Open Street Map;238;4,8218219;45,7227214
;;69385;Open Street Map;239;4,7977082;45,7593235
béton;False;69266;Open Street Map;240;4,8834099;45,7806235
;True;69383;Open Street Map;241;4,8869952;45,7489825
;True;69388;Open Street Map;242;4,8673779;45,7303507
bois;False;69266;Open Street Map;244;4,8836555;45,7841787
;False;69386;Open Street Map;245;4,8578123;45,780162
;False;69276;Open Street Map;246;4,8761318;45,6671411
;True;69142;Open Street Map;247;4,8047572;45,7248964
;True;69292;Open Street Map;249;4,8676181;45,8155032
bois;True;69290;Open Street Map;251;4,9360979;45,6886843
pierre;False;69381;Open Street Map;252;4,8269225;45,7730294
;True;69382;Open Street Map;253;4,8354357;45,7562327
;True;69383;Open Street Map;254;4,8821855;45,7527889
;True;69034;Open Street Map;255;4,8459415;45,7842343
;True;69149;Open Street Map;256;4,8056013;45,7112324
;True;69149;Open Street Map;257;4,8076095;45,7072287
bois;True;69290;Open Street Map;258;4,9687408;45,6945249
;True;69389;Open Street Map;259;4,8039745;45,7792962
bois;True;69386;Open Street Map;261;4,8525796;45,7779242
;True;69034;Open Street Map;262;4,8670992;45,788687
;;69199;Open Street Map;263;4,854543;45,7021375
bois;True;69096;Open Street Map;264;4,7817264;45,5976673
;True;69387;Open Street Map;265;4,8252624;45,720995
;True;69384;Open Street Map;268;4,8341715;45,7746675
;False;69387;Open Street Map;269;4,8216601;45,7307834
bois;True;69290;Open Street Map;271;4,946541;45,6948635
bois;True;69381;Open Street Map;272;4,8258339;45,7692791
;True;69388;Open Street Map;273;4,8673599;45,7303814
;True;69384;Open Street Map;276;4,8341732;45,7746808
bois;True;69388;Open Street Map;277;4,8583101;45,7401807
béton;True;69260;Open Street Map;278;4,8150305;45,6477295
métal;True;69383;Open Street Map;279;4,8639173;45,7595233
;False;69266;Open Street Map;280;4,8791011;45,766142
;;69279;Open Street Map;281;5,030251;45,7955477
pierre;False;69290;Open Street Map;282;4,9425528;45,6992117
;;69199;Open Street Map;283;4,8533859;45,7027955
;False;69382;Open Street Map;288;4,8337938;45,7606449
;;69389;Open Street Map;289;4,7976532;45,7902813
;;69069;Open Street Map;293;4,7233708;45,7457597
bois;True;69149;Open Street Map;294;4,8059668;45,719575
bois;False;69266;Open Street Map;295;4,8836636;45,784161
bois;True;69142;Open Street Map;296;4,8163468;45,7259461
pierre;False;69290;Open Street Map;297;4,9374677;45,6952382
bois;False;69290;Open Street Map;298;4,9426072;45,6920929
bois;True;69387;Open Street Map;300;4,8504115;45,7484914
bois;True;69387;Open Street Map;301;4,8480546;45,748809
béton;False;69266;Open Street Map;302;4,883579;45,7804055
;True;69081;Open Street Map;303;4,7778048;45,7728133
;;69081;Open Street Map;304;4,7701203;45,7825318
;True;69387;Open Street Map;305;4,8243727;45,7204629
bois;False;69387;Open Street Map;307;4,8362112;45,7388784
;True;69383;Open Street Map;308;4,8945016;45,7490327
;True;69381;Open Street Map;309;4,8335508;45,7667629
;True;69290;Open Street Map;310;4,9454644;45,6925371
;True;69385;Open Street Map;311;4,8156203;45,7606905
béton;True;69384;Open Street Map;312;4,830671;45,7749436
bois;False;69388;Open Street Map;316;4,8689186;45,7431225
;;69385;Open Street Map;317;4,8216222;45,7549672
bois;True;69142;Open Street Map;318;4,8089439;45,7264195
;True;69382;Open Street Map;320;4,8315239;45,7550409
bois;;69204;Open Street Map;321;4,7873151;45,6916441
;True;69387;Open Street Map;323;4,8250846;45,7324706
;;69202;Open Street Map;324;4,8030452;45,7370799
