insee;gid;lon;lat
69387;1;4,8216714;45,7223162
69385;3;4,8187533;45,7557951
69292;5;4,8684308;45,824564
69292;6;4,8703771;45,8172046
69382;7;4,8347229;45,7564372
69389;8;4,8309146;45,7969785
69266;9;4,8832112;45,7808651
69081;10;4,7702283;45,7836237
69382;12;4,8148161;45,7432225
69279;13;5,0375554;45,7961565
69149;14;4,8064763;45,7209567
69387;15;4,8306264;45,7304776
69259;16;4,8854721;45,7097962
69040;17;4,7885293;45,7945772
69091;18;4,765326;45,5864835
69385;19;4,8232121;45,7614139
69290;20;4,9551396;45,692868
69290;21;4,9316566;45,6963669
69389;22;4,831585;45,7971834
69387;23;4,8430087;45,7467184
69034;24;4,8348272;45,7834227
69382;25;4,8196889;45,7367685
69383;26;4,8666765;45,7518176
69034;27;4,8518167;45,7994781
69266;29;4,8836112;45,7804856
69388;30;4,8690327;45,7434734
69387;31;4,8429304;45,75198
69266;32;4,8854284;45,7581388
69266;33;4,9004268;45,7657575
69044;34;4,7403322;45,779231
69149;35;4,805957;45,7116895
69207;37;4,8031732;45,8840008
69271;38;4,9694728;45,7380319
69266;39;4,8859295;45,7718884
69149;40;4,8025171;45,7131123
69127;42;4,7278078;45,7864667
69286;43;4,8958025;45,8248882
69290;45;4,9352237;45,6948478
69385;46;4,798617;45,761862
69386;48;4,840651;45,7706475
69091;49;4,7881883;45,5773772
69381;50;4,831962;45,7719216
69081;51;4,7803614;45,7912481
69381;53;4,8336866;45,7695123
69266;54;4,8837551;45,7867057
69266;55;4,8625245;45,7740427
69207;56;4,8042993;45,8883294
69034;58;4,848636;45,795039
69266;59;4,8774203;45,7638116
69386;60;4,8420377;45,7746072
69089;61;4,7695329;45,748875
69387;62;4,8430788;45,7520713
69040;63;4,7924329;45,7952424
69384;64;4,8351855;45,774703
69386;66;4,8487351;45,7692898
69244;67;4,7669419;45,7626978
69149;68;4,8015851;45,7129408
69383;69;4,860526;45,760985
69386;70;4,8409139;45,7638902
69384;71;4,8385503;45,778646
69386;73;4,8470923;45,7644946
69385;74;4,8188146;45,7556294
69266;76;4,8754619;45,7676132
69091;77;4,7654053;45,5864841
69046;78;4,7944656;45,6493099
69386;79;4,8434185;45,7763792
69382;80;4,8353357;45,761713
69296;82;4,8411873;45,6393618
69266;83;4,8722139;45,784551
69386;84;4,8409186;45,7638682
69385;85;4,8277792;45,7613741
69089;86;4,7683678;45,7408684
69389;88;4,8130085;45,788169
69290;89;4,9618966;45,693057
69266;90;4,8806869;45,7580939
69383;91;4,8482244;45,7536279
69266;92;4,8652343;45,772681
69142;93;4,8136885;45,7301715
69275;94;4,9570978;45,7707145
69149;95;4,8026145;45,7175295
69276;96;4,8758121;45,6833529
69149;97;4,8070845;45,7078913
69149;98;4,8055641;45,7112992
69290;99;4,9448025;45,6928099
69266;101;4,8772845;45,7590553
69387;102;4,8422103;45,7454059
69127;105;4,7204067;45,784897
69389;107;4,7944902;45,7726306
69149;110;4,8051856;45,7108196
69389;111;4,8080047;45,7780004
69266;112;4,8769401;45,7636452
69282;113;5,0240296;45,790646
69385;115;4,8229273;45,7626454
69142;116;4,816347;45,7257547
69259;117;4,9000137;45,7136011
69149;118;4,8178322;45,7181482
69266;119;4,8857599;45,760762
69266;120;4,8810021;45,7674914
69260;121;4,8143687;45,6525083
69034;122;4,8395583;45,7814689
69271;124;4,9565701;45,7480731
69283;125;4,9457662;45,65128
69290;126;4,9399075;45,6963597
69266;127;4,8724381;45,7839672
69116;128;4,7822987;45,8126422
69384;129;4,8339536;45,7746634
69383;130;4,895778;45,7482256
69290;131;4,9643653;45,6974134
69279;132;5,0378102;45,7961396
69381;133;4,8226389;45,7681849
69244;134;4,7727225;45,757643
69384;136;4,8305732;45,7750039
69385;137;4,7943614;45,7586345
69290;138;4,9469155;45,6944887
69207;139;4,803359;45,8840993
69290;140;4,953272;45,6894384
69256;142;4,9435282;45,808374
69389;143;4,8104015;45,7802404
69191;144;4,7980768;45,8421542
69388;145;4,8711838;45,7446222
69383;146;4,8520095;45,7573103
69259;149;4,8839914;45,7133184
69381;150;4,8306024;45,76619
69387;151;4,8387302;45,7516083
69383;152;4,8587483;45,7620757
69389;153;4,8113975;45,7869788
69271;154;4,9743806;45,7501586
69266;155;4,8623218;45,7702725
69290;158;4,9419339;45,6918933
69383;159;4,8678042;45,7588383
69384;160;4,810492;45,7802157
69387;164;4,85333;45,7496076
69202;165;4,8059783;45,7375967
69383;166;4,851508;45,7622412
