deveui;datemaj;gid;lon;lat
70b3d580a01005fd;2022-07-04 08:19:43+02:00;6;4,852945;45,760798
70b3d580a0100644;2021-05-17 16:21:53+02:00;11;4,998943;45,775154
70b3d580a01007a5;2024-09-27 06:30:20+02:00;17;4,821077;45,806979
70b3d580a01006cf;2024-09-27 06:49:51+02:00;15;4,778705;45,778851
70b3d580a0100543;2023-11-08 02:06:26+01:00;1;4,851277;45,763484
70b3d580a0100742;2024-09-27 06:59:25+02:00;16;4,719458;45,803818
70b3d580a010054c;2024-09-27 06:46:50+02:00;3;4,851818;45,761145
70b3d580a0100652;2024-09-27 06:55:55+02:00;18;4,802012;45,857197
70b3d580a0100623;2024-09-27 06:42:33+02:00;19;4,928605;45,758908
70b3d580a0100605;2024-09-27 06:46:01+02:00;8;4,852542;45,758465
70b3d580a0100549;2024-09-27 06:48:00+02:00;2;4,851705;45,761757
70b3d580a0100654;2023-12-25 21:04:59+01:00;12;4,840917;45,743602
70b3d580a0100656;2024-09-27 06:50:09+02:00;13;4,823831;45,672827
70b3d580a0100648;2024-09-27 06:46:05+02:00;9;4,956662;45,689378
70b3d580a0100550;2024-09-27 06:54:52+02:00;4;4,849077;45,760508
70b3d580a0100600;2024-09-27 06:32:27+02:00;7;4,852123;45,759356
70b3d580a01005fa;2024-09-27 06:52:12+02:00;5;4,851946;45,76032
70b3d580a0100647;2024-09-27 06:48:27+02:00;10;4,903666;45,710283
70b3d580a0100657;2024-09-27 06:33:14+02:00;14;4,800357;45,613456
