nom;commune;horaires;gid
Centre commercial Chavril;Sainte-Foy-lès-Lyon;;22
;Vaulx-en-Velin;;4
;Vaulx-en-Velin;;6
;Caluire-et-Cuire;;13
Centre commercial Balzac;Décines-Charpieu;;10
;Vaulx-en-Velin;;16
Centre commercial des Plantées;Meyzieu;;14
Centre commercial Aushopping Dardilly Porte de Lyon;Dardilly;Mo-Sa 08:30-21:30;3
Centre commercial des Balmes;Corbas;;19
Cour Oxygène;Lyon 3e Arrondissement;Mo-Su,PH 08:30-18:00+;30
Centre commercial La Rotonde;Vénissieux;;18
Carré de Soie;Vaulx-en-Velin;Mo-Sa 10:00-20:00;11
Centre commercial Carré de Soie;Vaulx-en-Velin;;29
;Saint-Priest;;2
Centre commercial Givors 2 Vallées;Givors;;17
Centre commercial Saint-Genis 2;Saint-Genis-Laval;;8
Centre commercial Carrefour Francheville;Francheville;;27
Aushopping Porte des Alpes;Saint-Priest;;20
Centre commercial Aushopping Caluire;Caluire-et-Cuire;Mo-Sa 08:30-21:30;24
Centre commercial Écully Grand Ouest;Écully;;12
Zone commerciale Route de Grenoble;Saint-Priest;;25
;Vaulx-en-Velin;;28
Carré Montessuy;Caluire-et-Cuire;;1
Centre commercial Les 7 Chemins;Vaulx-en-Velin;;9
Pôle de Commerces et de Loisirs Confluence;Lyon 2e Arrondissement;Mo-Sa 10:00-20:00;23
Carrefour;Vénissieux;"Mo-Fr 08:30-22:00; Sa 08:30-21:00; Su 09:00-12:30";21
;Vaulx-en-Velin;;5
;Vaulx-en-Velin;;7
Centre commercial Champvert;Lyon 5e Arrondissement;"Mo-Sa 08:30-20:30; Su 08:30-12:30";31
Westfield La Part-Dieu;Lyon 3e Arrondissement;Mo-Su 09:30-22:30;15
