gid;lon;lat
7;4,8548324;45,844307
113;4,8507977;45,7940967
2;4,8481355;45,7598158
67;4,8288458;45,7531533
15;4,934115;45,8053776
118;4,8277735;45,7298038
12;4,8254447;45,7575147
11;4,8415856999999995;45,8978014
65;4,8991169;45,8240632
21;4,8544199;45,7377145
59;4,832266;45,7569443
86;4,8314082;45,757142
4;4,8310466;45,7572264
85;4,8232932;45,8373901
107;4,8158657;45,7267482
101;4,833864;45,7675162
70;4,7951597;45,6961407
41;4,8265443999999995;45,7610157
64;4,8628523;45,7533046
5;4,8628438;45,7534131
98;4,8628857;45,7533943
57;4,8198169;45,8697596
94;4,9445249;45,6966564
95;4,7360455;45,7823667
115;4,829048;45,7616334
110;4,8402343;45,7792187
3;4,9122851;45,7664968
68;4,8185199;45,7561123
123;4,834024;45,7675346
74;4,8336535;45,767491
19;4,8333483;45,7674551
56;4,8332002;45,7674377
32;4,833042;45,7674191
14;4,835666;45,7560863
26;4,8356832999999995;45,7560961
36;4,8356853;45,7560809
8;4,8356482;45,7560763
51;4,8356874;45,7560649
20;4,8356699;45,7560551
1;4,8356324;45,7560497
103;4,8356715;45,7560387
69;4,8356543;45,756029
105;4,8563708;45,7365647
90;4,7806032;45,7749538
48;4,9268795;45,7860955
62;4,835638;45,7560017
75;4,835601;45,755997
31;4,83564;45,7559865
109;4,8356226;45,7559761
33;4,8355855;45,7559709
83;4,8356241;45,7559601
129;4,8241692;45,7630749
133;4,8308064;45,7775003
131;4,8312144;45,7774908
104;4,8214414;45,7585234
47;4,8269018;45,7639857
50;4,8335038;45,7532794
142;4,8261456;45,7580235
145;4,8264986;45,7583758
53;4,8341236;45,7648593
6;4,7973011;45,7560907
119;4,9420821;45,6945199
120;4,9170939;45,7773108
72;4,8519121;45,7243381
18;4,8629147;45,7533101
100;4,7771833;45,7727312
23;4,8255685;45,7578216
106;4,8522946000000005;45,7613205
40;4,9417187;45,701264
38;4,8946797;45,825126
42;4,8324493;45,7569015
124;4,8320877;45,7569859
73;4,8312249;45,7571848
22;4,8381992;45,7752231
121;4,7167279;45,814946
55;4,8302862;45,7694279
9;4,8304569;45,7694273
108;4,8336337;45,7668391
87;4,7948509;45,7838439
77;4,857289;45,7717232
35;4,8167626;45,7903753
96;4,8217014;45,7587352
24;4,8290693000000005;45,7617433
93;4,8165536;45,7557679
102;4,9107731;45,7660836
92;4,8233132;45,7625973
25;4,8607179;45,7389032
52;4,833798;45,7675075
76;4,8339444;45,7675252
91;4,8337240999999995;45,7674996
60;4,8278061;45,7508258
63;4,8335729;45,7674815
122;4,8334927;45,7674721
112;4,8334212999999995;45,7674637
84;4,8332711;45,767446
126;4,8331222;45,7674285
58;4,8329794;45,7674117
114;4,8356632;45,7561016
10;4,835703;45,7560908
39;4,835705;45,7560754
27;4,835668;45,7560705
45;4,8356507;45,7560605
49;4,8356895;45,7560496
30;4,8356523;45,7560441
28;4,8356352;45,7560344
80;4,8356738;45,7560235
29;4,8356166;45,7560231
44;4,8356364;45,7560175
13;4,8356554;45,7560121
43;4,8356189;45,756007
111;4,8356574;45,7559963
81;4,8356211;45,7559916
117;4,8356037;45,7559813
82;4,835642;45,7559708
61;4,8356054;45,7559653
127;4,7909996;45,6082017
128;4,962854;45,7639707
132;4,8306711;45,7775012
130;4,8310702;45,7774922
134;4,8113851;45,7136671
136;4,8837212;45,7589998
143;4,8260572;45,757935
141;4,8262318;45,7581124
140;4,8263199;45,7581986
144;4,8264084;45,758288
138;4,8265874;45,7584633
139;4,8266769;45,7585518
137;4,8267667;45,7586403
146;4,8990031;45,765576
147;4,820745;45,7689105
66;4,8213435;45,7582873
148;4,9046637;45,8182679
46;4,8129255;45,758143
79;4,8276319999999995;45,7505214
89;4,8273222;45,7501887
17;4,9470036;45,6856069
34;4,7951429;45,6493749
154;4,836111141323587;45,76828518849428
155;4,83563175;45,7604679
156;4,891500301701499;45,753476324328226
157;4,812792523787065;45,75511255919945
158;4,862654831173401;45,77907297207617
160;4,833461174087847;45,76762929378087
161;4,87082938182432;45,82442246189046
162;4,842061126079223;45,768531166070154
163;5,006340464336581;45,76631555524814
164;4,78685005;45,69179175
165;4,833634715328201;45,766839093295566
166;4,873615966359355;45,7338029375644
167;4,8005375;45,7370735
168;4,78720323747076;45,691718676685575
170;4,832820112712577;45,766198204038204
171;4,862159966723087;45,77466350069499
172;4,919690435766677;45,76064966801014
173;4,868817;45,73675206666667
174;4,836694867602056;45,76837706077881
175;4,827517859955502;45,75565160809678
176;4,9253935953554775;45,760940047608116
177;4,950228776325525;45,76952080043519
178;4,828477942383201;45,761993867728194
179;4,865570813960963;45,72979148492471
169;4,820875164274949;45,759619689820234
180;4,83460058839206;45,77780883309867
181;4,965324349999995;45,76318875
182;4,879362025706217;45,7660493943178
183;4,830280210322138;45,795314334369756
184;4,8870804;45,7192304
185;4,83674585;45,7644436
186;4,833537630144198;45,76050865064756
187;4,866030441299921;45,76965535057796
188;4,802960496792786;45,77374052574062
189;4,835233224341329;45,767655176839106
190;4,879882925584189;45,766064544205854
191;4,828324139461781;45,761625052920785
192;4,7865003477312;45,691839731501624
193;4,942770725005238;45,699206699996104
194;4,7913358;45,7481565
195;4,8520859;45,7826884
196;4,8703933949276035;45,70660703621408
78;4,8628466;45,753367
198;4,8847797;45,6985667
199;4,8854169;45,6968531
200;4,894529778971771;45,66763342648965
201;4,8602429983086095;45,747532432180975
16;4,8628856;45,7532736
99;4,8628949;45,7533483
37;4,8628553;45,7533396
