ligne;code_trace;code_ligne;nom_trace;sens;origine;destination;nom_origine;nom_destination;famille_transport;date_debut;date_fin;pmr;code_tri_ligne;nom_version;last_update;gid
8;8-1;8B;Perrache - Oullins Clement Desormes;Aller;30977;11033;Perrache;Oullins Clément Désormes;BUS;20200903;;True;8;18 septembre 2024;2024-09-18 13:33:38+02:00;429
8;8-2;8B;Oullins Clement Desormes - Perrache;Retour;11033;30977;Oullins Clément Désormes;Perrache;BUS;20200903;;True;8;18 septembre 2024;2024-09-18 13:33:38+02:00;430
6;6-3;6A;Ste-Foy Place Saint Luc - Gare d'Oullins;Aller;34271;34269;Ste-Foy Place Saint Luc;Gare d'Oullins;BUS;20211023;;False;6;18 septembre 2024;2024-09-18 13:33:38+02:00;805
6;6-4;6A;Gare d'Oullins - Ste-Foy Place Saint Luc;Retour;34269;34271;Gare d'Oullins;Ste-Foy Place Saint Luc;BUS;20211023;;False;6;18 septembre 2024;2024-09-18 13:33:38+02:00;806
7;7-2;7A;Laurent Bonnevay - Bonnevay Bel Air;Aller;10716;10111;Laurent Bonnevay;Bonnevay - Bel Air;BUS;20180101;;True;7;18 septembre 2024;2024-09-18 13:33:38+02:00;880
2;2-1;2A;Croix-Rousse - Plateau de St-Rambert;Aller;11119;20244;Croix-Rousse;Plateau de St Rambert;BUS;20180101;;True;2;18 septembre 2024;2024-09-18 13:33:38+02:00;411
2;2-2;2A;Plateau de St-Rambert - Croix-Rousse;Retour;20244;11119;Plateau de St Rambert;Croix-Rousse;BUS;20180101;;True;2;18 septembre 2024;2024-09-18 13:33:38+02:00;412
3;3-1;3A;Gorge de Loup - Dardilly Le Jubin;Aller;10513;20189;Gorge de Loup;Dardilly Le Jubin;BUS;20180101;;True;3;18 septembre 2024;2024-09-18 13:33:38+02:00;413
3;3-2;3A;Gorge de Loup - Limonest Le Puy d'Or;Aller;10513;33290;Gorge de Loup;Limonest Le Puy d'Or;BUS;20180101;;True;3;18 septembre 2024;2024-09-18 13:33:38+02:00;414
3;3-3;3A;Gorge de Loup - Porte de Lyon;Aller;10513;11147;Gorge de Loup;Porte de Lyon;BUS;20180101;;True;3;18 septembre 2024;2024-09-18 13:33:38+02:00;415
26;26-1;26A;Lycée Lumiere - Manissieux Pierre Blanche;Aller;32540;20079;Lycée Lumière;Manissieux P. Blanche;BUS;20180101;;True;26;18 septembre 2024;2024-09-18 13:33:38+02:00;471
33;33-1;33A;Croix-Rousse - Rillieux Les Alagniers;Aller;11119;33420;Croix-Rousse;Rillieux - Les Alagniers;BUS;20180101;;True;33;18 septembre 2024;2024-09-18 13:33:38+02:00;485
33;33-2;33A;Rillieux Les Alagniers - Croix-Rousse;Retour;33420;11119;Rillieux - Les Alagniers;Croix-Rousse;BUS;20180101;;True;33;18 septembre 2024;2024-09-18 13:33:38+02:00;486
12;12-1;12C;Gare d'Oullins - Hopital Lyon Sud;Aller;34269;10565;Gare d'Oullins;St-Genis-Laval Hôp. Sud;BUS;20211023;;False;12;18 septembre 2024;2024-09-18 13:33:38+02:00;809
12;12-2;12C;Hopital Lyon Sud - Gare d'Oullins;Retour;10565;34269;St-Genis-Laval Hôp. Sud;Gare d'Oullins;BUS;20211023;;False;12;18 septembre 2024;2024-09-18 13:33:38+02:00;810
45;45-2;45B;Valdo - Croix-Rousse;Retour;11411;11119;Valdo;Croix-Rousse;BUS;20300320;;True;45;18 septembre 2024;2024-09-18 13:33:38+02:00;504
S10;S10-1;S10A;Joannès Carret - Lycée Jean Perrin;Aller;10599;10878;Joannès Carret;Lycée Jean Perrin;BUS;20180101;;True;S 10;18 septembre 2024;2024-09-18 13:33:38+02:00;644
15;15-3;15C;Bellecour Charite - Irigny Hauts de Selettes;Aller;10077;32640;Bellecour Charité;Irigny Hauts de Selettes;BUS;20130522;;True;15;18 septembre 2024;2024-09-18 13:33:38+02:00;851
15;15-1;15C;Bellecour Charite - Irigny Hauts de Selettes;Aller;10077;32640;Bellecour Charité;Irigny Hauts de Selettes;BUS;20210401;;True;15;18 septembre 2024;2024-09-18 13:33:38+02:00;439
15;15-4;15C;Irigny Hauts de Selettes - Bellecour Charite;Retour;32640;10077;Irigny Hauts de Selettes;Bellecour Charité;BUS;20130522;;True;15;18 septembre 2024;2024-09-18 13:33:38+02:00;852
15;15-2;15C;Irigny Hauts de Selettes - Bellecour Charite;Retour;32640;10077;Irigny Hauts de Selettes;Bellecour Charité;BUS;20210401;;True;15;18 septembre 2024;2024-09-18 13:33:38+02:00;440
17;17-1;17C;Gare d'Oullins - St Genis 2;Aller;34269;11302;Gare d'Oullins;St Genis 2;BUS;20211023;;False;17;18 septembre 2024;2024-09-18 13:33:38+02:00;811
17;17-2;17C;St Genis 2 - Gare d'Oullins;Retour;11302;34269;St Genis 2;Gare d'Oullins;BUS;20211023;;False;17;18 septembre 2024;2024-09-18 13:33:38+02:00;812
18;18-2;18C;Vernaison  Place - Hopital Lyon Sud;Retour;31440;10565;Vernaison  Place;St-Genis-Laval Hôp. Sud;BUS;20211023;;False;18;18 septembre 2024;2024-09-18 13:33:38+02:00;814
S15;S15-1;S15A;Ecully Le Trouillat - Les Sources;Aller;10399;10842;Ecully Le Trouillat;Les Sources;BUS;20180101;;True;S 15;18 septembre 2024;2024-09-18 13:33:38+02:00;653
ZI8;ZI8-3;ZI8A;La Fouillouse Acacias - Esplanade des Arts (50 E);Retour;31431;31160;La Fouillouse Acacias;Esplanade des Arts;BUS;20180101;;True;Z I8;18 septembre 2024;2024-09-18 13:33:38+02:00;677
30;30-4;30B;St Priest Jules Ferry - St-Pierre-de-Chandieu - Rajat;Retour;31140;34339;St-Priest Jules Ferry;St-P.de-Chandieu - Rajat;BUS;20190209;;True;30;18 septembre 2024;2024-09-18 13:33:38+02:00;720
72;72-2;72D;Gorge de Loup - Marcy l'Etoile;Aller;10513;10910;Gorge de Loup;Marcy l'Etoile;BUS;20230201;;False;72;18 septembre 2024;2024-09-18 13:33:38+02:00;553
72;72-3;72D;Gorge de Loup - Ste Consorce;Aller;10513;11360;Gorge de Loup;Ste Consorce;BUS;20230201;;False;72;18 septembre 2024;2024-09-18 13:33:38+02:00;552
25;25-2;25A;Sept Chemins - Gare Part-Dieu Vivier Merle;Retour;11269;11064;Sept Chemins;Gare Part-Dieu V.Merle;BUS;20180101;;True;25;18 septembre 2024;2024-09-18 13:33:38+02:00;470
40;40-1;40A;Bellecour Le Viste - Neuville;Aller;10080;11014;Bellecour Le Viste;Neuville;BUS;20180101;;True;40;18 septembre 2024;2024-09-18 13:33:38+02:00;495
72;72-6;72D;Ste Consorce - Gorge de Loup;Retour;11360;10513;Ste Consorce;Gorge de Loup;BUS;20230201;;False;72;18 septembre 2024;2024-09-18 13:33:38+02:00;555
73;73-2;73D;Brindas Centre - Gorge de Loup;Retour;10117;10513;Brindas Centre;Gorge de Loup;BUS;20190701;;True;73;18 septembre 2024;2024-09-18 13:33:38+02:00;558
81;81-1;81A;Plateau de Montrond - Collège Paul Vallon;Aller;31704;31730;Plateau de Montrond;Collège Paul Vallon;BUS;20180101;;True;81;18 septembre 2024;2024-09-18 13:33:38+02:00;569
35;35-1;35A;Bellecour Charité - Vénissieux Le Charréard;Aller;10077;11442;Bellecour Charité;Vénissieux Le Charréard;BUS;20180101;;True;35;18 septembre 2024;2024-09-18 13:33:38+02:00;487
43;43-1;43A;Gare de Vaise - Genay Proulieu;Aller;10487;30087;Gare de Vaise-G.Collomb;Genay Proulieu;BUS;20180101;;True;43;18 septembre 2024;2024-09-18 13:33:38+02:00;499
47;47-2;47A;Marechal Juin - Meyzieu Z.i.;Retour;34355;31620;Maréchal Juin;Meyzieu Z.i.;BUS;20190209;;True;47;18 septembre 2024;2024-09-18 13:33:38+02:00;726
43;43-3;43A;Genay Proulieu - Gare de Vaise;Retour;30087;10487;Genay Proulieu;Gare de Vaise-G.Collomb;BUS;20180101;;True;43;18 septembre 2024;2024-09-18 13:33:38+02:00;501
R2;R2-6;R2A;Neuville l'echo - Chantemerle;Retour;34603;10192;Neuville l'écho;Chantemerle;BUS;20220301;;True;R  2;18 septembre 2024;2024-09-18 13:33:38+02:00;804
5;5-3;5A;Pont Mouton - Charbonnieres Verrieres;Aller;11189;33630;Pont Mouton;Charbonnières Verrières;BUS;20300821;;True;5;18 septembre 2024;2024-09-18 13:33:38+02:00;754
52;52-3;52D;Vaulx - La Grappiniere - Parilly Univ. Hippodrome;Aller;20205;33640;Vaulx - La Grappinière;Parilly Univ. Hippodrome;BUS;20240801;;False;52;18 septembre 2024;2024-09-18 13:33:38+02:00;854
