nom;indiccanop;gid
Place Puvis de Chavannes;0,57;1
Allce des Carlines;0,12;2
Place Jean de la Fontaine;0,11;3
Place Jean Jaurès;0,39;4
Square Séraphin Bouvier;0,00;5
Place Kellermann;0,45;6
Passage de la Traille;0,48;7
Place Roger Salengro;0,32;8
Square du 19 Mars 1962;0,49;9
Place Arles Dufour;0,00;10
Parc Chabrières Arles;0,64;11
Jardin du Cuir;0,60;21
Square Monseigneur Alfred Ancel;0,91;22
Place des Pavillons;0,82;23
Place Bénédict Tessier;0,86;82
Place des Compagnons de la Chanson;0,73;83
Parc Victor Basch;0,15;12
Place du Tertre;0,54;13
Place de l'Ecole;0,35;24
Voie Verte Hall Tony Garnier;0,00;25
Place Giovanni Da Verazzano;0,55;176
Parc des Minguettes;0,48;14
Mail de la Bicherée;0,16;15
Square du 11 Novembre 1918;0,35;16
Place des Quatre Chemins;0,84;17
Place Salvador Allende;0,00;18
Place Jeanne d'Arc;0,00;19
Plaine des jeux de Gerland;0,16;20
Place Sathonay;0,92;217
Square Monod;0,38;26
Place des Docteurs Mérieux;0,11;27
Parvis René Descartes;0,00;28
Square Jean Vallier;0,60;29
Place A. Morin;1,00;30
Jardin Gabriel Rosset;0,00;31
Place du Général Leclerc;0,34;32
Jardin Georges Duthy;0,40;33
Jardin Georges Duthy;0,43;34
Place Jean-Désiré Trait;0,55;35
Square Saint-Exupéry;0,25;36
Square du Commandant Ayasse;0,99;37
Jardin des Arbuzzes;0,00;38
Square Clément Marot;0,83;39
Jardin Marie Madeleine Fourcade;0,45;40
Jardin François Raclet;0,00;41
Place des Mariniers;0,70;42
Petite Place des Sallins;0,26;43
Jardin aquatique Jean Couty;0,14;44
Jardin aquatique Jean Couty;0,00;45
Jardin du TOL;0,04;84
Jardin d'Erevan;0,41;46
Jardin aquatique Ouagadougou;0,05;47
Square Général Delfosse;0,46;48
Jardin de L'Hippodrome;0,68;49
Place des Archives;0,00;50
Place Gensoul;0,67;51
Place d'Ainay;0,76;52
Square Janmot;0,86;53
